date,content
2024-11-14,"Can't afford luxury beauty right now, switching to drugstore."
2019-05-05,"Luxury lipstick is worth the splurge, color is perfect."
2018-04-19,"Makeup prices are crazy lately, looking for cheaper options."
2025-06-22,"Luxury lipstick is worth the splurge, color is perfect."
2020-05-27,"Can't afford luxury beauty right now, switching to drugstore."
2023-01-26,Trying a viral lipstick trend — looks amazing!
2023-03-22,"Makeup prices are crazy lately, looking for cheaper options. #lipstick #dupe"
2021-08-12,Found a great drugstore dupe for my favorite lipstick 😍
2021-09-05,Trying a viral lipstick trend — looks amazing! #dupe
2025-07-09,Love my new lipstick from Sephora! Absolutely obsessed.
2023-03-03,"Can't afford luxury beauty right now, switching to drugstore."
2024-03-23,"Makeup prices are crazy lately, looking for cheaper options."
2019-11-18,Sale at Ulta — stocked up on mascara and lipstick!
2020-04-08,"Luxury lipstick is worth the splurge, color is perfect."
2020-08-19,Found a great drugstore dupe for my favorite lipstick 😍
2024-11-07,"Makeup prices are crazy lately, looking for cheaper options."
2020-03-08,Hoping prices come down soon. #inflation #lipstick
2022-08-03,"Disappointed with recent lipstick formula, not lasting."
2023-06-08,Skipping Sephora this month — budget's tight.
2018-03-15,Hoping prices come down soon. #inflation
2023-02-09,Trying a viral lipstick trend — looks amazing!
2019-11-26,Hoping prices come down soon. #inflation
2021-09-16,Trying a viral lipstick trend — looks amazing! #lipstick
2021-03-02,Trying a viral lipstick trend — looks amazing!
2018-05-21,"Makeup prices are crazy lately, looking for cheaper options."
2024-12-17,Sale at Ulta — stocked up on mascara and lipstick!
2021-09-03,Trying a viral lipstick trend — looks amazing!
2023-04-02,"Can't afford luxury beauty right now, switching to drugstore. #lipstick"
2019-03-27,"Makeup prices are crazy lately, looking for cheaper options."
2022-10-02,Skipping Sephora this month — budget's tight.
2019-03-10,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2022-01-18,Trying a viral lipstick trend — looks amazing! #lipstick
2022-01-15,Skipping Sephora this month — budget's tight.
2019-05-03,"Can't afford luxury beauty right now, switching to drugstore."
2025-02-15,Skipping Sephora this month — budget's tight.
2021-11-27,"Luxury lipstick is worth the splurge, color is perfect."
2024-08-27,Found a great drugstore dupe for my favorite lipstick 😍
2024-07-02,Hoping prices come down soon. #inflation #lipstick
2021-01-01,"Makeup prices are crazy lately, looking for cheaper options."
2025-07-15,"Can't afford luxury beauty right now, switching to drugstore."
2024-11-27,"Disappointed with recent lipstick formula, not lasting."
2021-11-21,"Luxury lipstick is worth the splurge, color is perfect."
2022-11-11,Found a great drugstore dupe for my favorite lipstick 😍
2023-08-06,Love my new lipstick from Sephora! Absolutely obsessed.
2025-06-10,"Makeup prices are crazy lately, looking for cheaper options."
2018-03-27,Sale at Ulta — stocked up on mascara and lipstick!
2019-07-22,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2020-03-21,Sale at Ulta — stocked up on mascara and lipstick!
2024-06-04,"Makeup prices are crazy lately, looking for cheaper options."
2022-06-05,Love my new lipstick from Sephora! Absolutely obsessed.
2023-02-08,"Can't afford luxury beauty right now, switching to drugstore."
2018-12-08,"Disappointed with recent lipstick formula, not lasting."
2024-09-25,Love my new lipstick from Sephora! Absolutely obsessed.
2023-10-12,Trying a viral lipstick trend — looks amazing!
